frame.time_delta,frame.time_epoch,ip.dst,ip.proto,ip.src,ip.ttl,ip.version,udp.dstport,udp.srcport,udp.length,udp.payload,udp.time_relative,udp.time_delta,ssdp,http.host,http.request.full_uri,http.request.line,http.request.method,http.request.version,Label
2.00E-06,1607886072,0,17,4,255,4,1900,12914,102,3,101.396224,0.001208,1,1,1,1,1,1,1
0.00017,1607886072,0,17,4,255,4,1900,55867,102,3,106.466054,0.008686,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,16782,102,3,105.892382,0.007503,1,1,1,1,1,1,1
0,1607886072,0,17,4,255,4,1900,29285,102,3,105.099008,0.007502,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,55727,102,3,101.710497,0.007501,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,53731,102,3,106.315219,0.007501,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,47660,102,3,104.641062,0.0075,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,8425,102,3,105.904743,0.007501,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,43811,102,3,104.013891,0.0075,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,3801,102,3,98.985706,0.0075,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,28117,102,3,106.566816,0.0075,1,1,1,1,1,1,1
0.000174,1607886072,0,17,4,255,4,1900,48774,102,3,104.442747,0.007868,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,26769,102,3,102.001055,0.007868,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,11680,102,3,102.879841,0.007867,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,13883,102,3,103.692429,0.007867,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,4128,102,3,101.454823,0.007866,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,12077,102,3,105.316041,0.007866,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,12914,102,3,101.404089,0.007865,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,21807,102,3,105.60591,0.439505,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,62224,102,3,99.800896,0.013577,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,61053,102,3,106.389548,0.237601,1,1,1,1,1,1,1
0.000165,1607886072,0,17,4,255,4,1900,53476,102,3,105.745549,5.908973,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,29459,102,3,106.400125,0.180415,1,1,1,1,1,1,1
0,1607886072,0,17,4,255,4,1900,54001,102,3,104.249653,2.878306,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,6809,102,3,106.590167,0.036534,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,44750,102,3,105.974728,2.378243,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,58206,102,3,106.480878,10.619178,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,34309,102,3,104.905442,5.42909,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,39405,102,3,103.719176,5.317149,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,60282,102,3,106.30706,1.404099,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,13694,102,3,106.235742,4.470592,1,1,1,1,1,1,1
0.000146,1607886072,0,17,4,255,4,1900,14875,102,3,105.32084,8.886531,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,1940,102,3,104.857519,0.864745,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,28949,102,3,106.310466,0.022233,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,19588,102,3,105.413344,1.01781,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,19452,102,3,106.036342,1.67999,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,40750,102,3,103.918424,1.362163,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,30186,102,3,106.294365,0.733519,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,4722,102,3,106.546026,8.32786,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,31712,102,3,98.299545,2.170374,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,65441,102,3,104.370209,1.927037,1,1,1,1,1,1,1
0.00013,1607886072,0,17,4,255,4,1900,19763,102,3,104.27146,2.62944,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,25109,102,3,105.577217,5.780476,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,21026,102,3,105.341014,2.59342,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,11915,102,3,101.310179,1.615338,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,42006,102,3,105.739007,0.460347,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,3097,102,3,106.504328,6.70964,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,65485,102,3,100.571503,1.700453,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,57917,102,3,105.001537,0.196659,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,7536,102,3,106.588737,2.298861,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,51161,102,3,102.465361,0.269837,1,1,1,1,1,1,1
0.000128,1607886072,0,17,4,255,4,1900,49879,102,3,106.58739,1.096276,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,5430,102,3,104.190009,1.178984,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,45560,102,3,103.573869,2.056682,1,1,1,1,1,1,1
1.30E-05,1607886072,0,17,4,255,4,1900,86,102,3,102.967706,0.981024,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,16533,102,3,100.51113,0.99852,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,65075,102,3,104.876958,0.708188,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,41263,102,3,100.651113,1.515865,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,34066,102,3,103.810408,4.080462,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,5029,102,3,106.079431,4.081532,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,32805,102,3,105.880181,2.319018,1,1,1,1,1,1,1
0.000128,1607886072,0,17,4,255,4,1900,26270,102,3,105.57642,0.524057,1,1,1,1,1,1,1
0,1607886072,0,17,4,255,4,1900,20100,102,3,100.415835,5.748079,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,18864,102,3,105.016658,5.161174,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,44510,102,3,103.221222,1.104451,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,50765,102,3,105.568684,0.941285,1,1,1,1,1,1,1
0,1607886072,0,17,4,255,4,1900,24080,102,3,104.387661,8.926387,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,25165,102,3,102.854088,0.782202,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,64308,102,3,106.435946,1.651181,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,36280,102,3,104.822972,0.439716,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,41440,102,3,105.726693,0.980418,1,1,1,1,1,1,1
0.000128,1607886072,0,17,4,255,4,1900,10409,102,3,105.8292,2.210967,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,57384,102,3,105.643149,2.826059,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,19145,102,3,104.792382,0.733431,1,1,1,1,1,1,1
0,1607886072,0,17,4,255,4,1900,54542,102,3,103.989508,3.685368,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,27881,102,3,105.367236,3.196973,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,60021,102,3,104.582558,6.132718,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,5385,102,3,106.437009,0.352066,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,63041,102,3,105.181857,0.172332,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,16804,102,3,100.072435,0.414345,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,37098,102,3,103.066939,0.615623,1,1,1,1,1,1,1
0.000128,1607886072,0,17,4,255,4,1900,45381,102,3,104.975602,0.247929,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,10844,102,3,105.296112,1.328947,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,57216,102,3,104.848194,3.279064,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,64244,102,3,102.298227,9.360934,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,62410,102,3,106.432129,1.239868,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,23503,102,3,100.938748,0.178192,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,44380,102,3,103.870442,2.862863,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,9808,102,3,81.956555,1.08683,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,27336,102,3,103.575818,3.978043,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,9639,102,3,106.410134,5.630396,1,1,1,1,1,1,1
0.000124,1607886072,0,17,4,255,4,1900,10398,102,3,104.260019,0.200107,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,11047,102,3,105.883414,1.593459,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,9420,102,3,106.454597,0.540233,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,18440,102,3,106.380103,1.666364,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,50411,102,3,101.294487,13.013793,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,6486,102,3,105.336132,1.082304,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,21313,102,3,104.66257,5.678482,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,51351,102,3,106.416215,3.247552,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,61740,102,3,106.420267,2.846032,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,59202,102,3,104.813063,0.816611,1,1,1,1,1,1,1
0.000587,1607886072,0,17,4,255,4,1900,43878,102,3,102.176745,0.554446,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,31995,102,3,106.03745,1.14114,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,18268,102,3,106.39109,1.490925,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,9547,102,3,102.386924,1.552377,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,24263,102,3,103.759502,0.220794,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,3057,102,3,106.242146,4.669618,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,17711,102,3,104.607205,2.41899,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,64335,102,3,97.147101,0.163251,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,56277,102,3,99.375194,1.17504,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,55054,102,3,97.216446,2.581554,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,2382,102,3,106.274327,0.034806,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,19022,102,3,104.313939,3.752046,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,64899,102,3,105.90177,2.173735,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,37100,102,3,106.486817,0.765113,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,25083,102,3,105.014731,0.422538,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,14889,102,3,106.409421,2.124035,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,13494,102,3,104.221065,1.570378,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,14041,102,3,104.074867,2.595912,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,42982,102,3,106.052838,2.971006,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,62273,102,3,97.341297,1.046116,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,24269,102,3,105.421416,0.282602,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,19417,102,3,106.165863,0.62718,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,59893,102,3,105.320044,1.340453,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,29552,102,3,103.532833,0.489279,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,28579,102,3,104.583446,6.257096,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,64018,102,3,102.309231,0.413611,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,24635,102,3,105.771544,2.06835,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,48766,102,3,105.414093,8.41806,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,24403,102,3,101.526646,0.941263,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,56615,102,3,106.270565,0.107439,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,1302,102,3,105.700456,0.794552,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,49958,102,3,105.328382,2.945154,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,13185,102,3,106.457228,0.160992,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,42656,102,3,104.784208,1.966364,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,31804,102,3,106.294687,4.445303,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,11892,102,3,104.037542,0.149598,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,8130,102,3,105.691137,1.117796,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,41317,102,3,104.911234,2.443951,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,64344,102,3,101.912561,0.183669,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,50336,102,3,104.163376,0.74539,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,12747,102,3,106.314103,1.117822,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,34856,102,3,100.602809,0.52561,1,1,1,1,1,1,1
0,1607886072,0,17,4,255,4,1900,1291,102,3,105.913141,3.04608,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,45658,102,3,101.706376,0.189987,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,47609,102,3,106.418815,6.318704,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,60191,102,3,105.6596,5.485095,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,40910,102,3,104.914694,2.939846,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,51067,102,3,104.848564,3.099708,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,50946,102,3,105.377961,0.248146,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,52349,102,3,104.426685,4.444711,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,981,102,3,104.973584,1.292807,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,63022,102,3,103.703926,0.383503,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,56483,102,3,103.355715,0.87737,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,33786,102,3,99.733972,9.164096,1,1,1,1,1,1,1
0.000572,1607886072,0,17,4,255,4,1900,56143,102,3,97.07956,2.961883,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,52725,102,3,105.276065,4.615411,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,15319,102,3,106.064879,0.086241,1,1,1,1,1,1,1
0,1607886072,0,17,4,255,4,1900,39012,102,3,100.914823,0.026277,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,50076,102,3,106.524842,3.499481,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,44538,102,3,103.974373,2.066858,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,56126,102,3,106.140201,0.915418,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,21480,102,3,105.090969,2.61557,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,25356,102,3,106.387579,0.258532,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,10103,102,3,103.642275,2.935334,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,20805,102,3,98.041834,2.390458,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,27492,102,3,103.696528,2.310673,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,2103,102,3,106.591706,0.525643,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,34369,102,3,92.626287,0.557277,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,38135,102,3,104.859965,0.975627,1,1,1,1,1,1,1
0,1607886072,0,17,4,255,4,1900,49758,102,3,103.164574,0.181684,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,40536,102,3,104.710665,0.749976,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,22662,102,3,103.291146,4.850753,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,9398,102,3,105.695076,0.106027,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,35964,102,3,103.241453,4.112864,1,1,1,1,1,1,1
0,1607886072,0,17,4,255,4,1900,6675,102,3,104.107505,2.659462,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,64278,102,3,104.216367,3.355259,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,49448,102,3,104.486352,0.241336,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,7082,102,3,104.782041,1.199384,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,63948,102,3,104.041782,2.73031,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,8320,102,3,103.474284,1.874359,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,22575,102,3,103.169031,0.061818,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,23886,102,3,99.827294,0.038088,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,13273,102,3,101.327689,2.177968,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,36886,102,3,105.652354,0.806533,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,10392,102,3,97.519008,5.034558,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,53021,102,3,106.355757,4.296315,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,63892,102,3,101.467503,4.233767,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,43588,102,3,103.708564,0.968501,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,57990,102,3,105.028446,0.351793,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,62505,102,3,104.957862,0.058299,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,38574,102,3,102.250367,1.861291,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,43307,102,3,101.165669,8.351156,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,55792,102,3,103.745375,1.775292,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,21955,102,3,105.304856,1.204048,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,6445,102,3,104.781987,0.23439,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,5583,102,3,104.13849,3.456681,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,11109,102,3,102.564657,0.492744,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,34580,102,3,105.204295,2.858945,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,61294,102,3,104.300961,3.161431,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,32375,102,3,105.017484,1.685939,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,7819,102,3,102.478109,0.068424,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,31863,102,3,102.645959,4.094835,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,63981,102,3,105.185695,0.872604,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,54924,102,3,102.510715,2.935156,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,45843,102,3,105.08047,1.320071,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,11823,102,3,105.565256,1.204312,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,35869,102,3,101.05222,0.156646,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,27641,102,3,106.391921,1.61865,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,62957,102,3,101.074656,3.313743,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,29855,102,3,106.327431,4.28097,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,28880,102,3,102.213906,6.432177,1,1,1,1,1,1,1
2.00E-06,1607886072,0,17,4,255,4,1900,52161,102,3,104.007976,5.091755,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,24145,102,3,101.24313,1.155684,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,55093,102,3,104.765486,1.396376,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,39011,102,3,104.360248,0.254343,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,43280,102,3,106.505638,8.036462,1,1,1,1,1,1,1
1.00E-06,1607886072,0,17,4,255,4,1900,10652,102,3,105.129658,2.846207,1,1,1,1,1,1,1
